,code,name,change,open,preclose,close,high,low,volume,amount
0,000001,上证指数,-0.73,3146.748,3153.7429,3130.674,3149.1731,3125.3546,138347042,1606.4123
1,000002,Ａ股指数,-0.73,3295.566,3302.8794,3278.7043,3298.1057,3273.1212,138121867,1605.0089
2,000003,Ｂ股指数,-0.59,322.1582,323.2447,321.3433,322.5547,320.9637,225175,1.4034
3,000008,综合指数,-0.98,2832.8044,2841.8134,2813.8792,2834.0878,2806.8751,29994546,319.398
4,000009,上证380,-0.43,5315.7745,5321.9555,5299.0889,5328.5679,5292.378,33235192,382.4185
5,000010,上证180,-1.28,7741.2451,7767.8909,7668.5825,7741.2451,7654.1042,52561900,620.118
6,000011,基金指数,-0.43,5894.8071,5895.4791,5870.21,5894.8071,5867.0583,16696566,322.8751
7,000012,国债指数,0.03,160.3246,160.3091,160.3531,160.3705,160.2911,252664,2.5204
8,000016,上证50,-1.5,2505.0635,2515.1427,2477.3173,2505.2011,2471.6184,21841108,298.3325
9,000017,新综指,-0.73,2657.1997,2663.1015,2643.5956,2659.2397,2639.0941,137795295,1592.9112
10,000300,沪深300,-1.31,3571.2483,3582.2674,3535.2987,3571.2483,3530.274,83810783,1061.0532
11,000905,中证500,-0.23,5976.0141,5980.0566,5966.4314,5992.7818,5958.2003,60926963,714.7643
12,399001,深证成指,-0.72,10208.84,10224.817,10151.534,10226.151,10138.823,16157250730,2218.4074
13,399002,深成指R,-0.71,12121.341,12139.229,12053.3,12141.896,12038.208,7365017098,974.9159
14,399003,成份Ｂ指,-0.16,5956.204,5949.063,5939.712,5963.111,5924.753,10041291,0.7831
15,399004,深证100R,-1.17,4850.512,4860.548,4803.521,4856.678,4796.128,3228169021,459.2904
16,399005,中小板指,-0.74,6718.645,6729.572,6680.055,6732.037,6671.664,1545655023,271.0101
17,399006,创业板指,-0.28,1794.035,1795.632,1790.635,1798.198,1787.06,976444090,152.3975
18,399008,中小300,-0.5,1395.531,1397.356,1390.303,1398.371,1388.78,3315324725,473.2161
19,399100,新 指 数,-0.44,8248.583,8259.027,8223.001,8261.535,8212.254,15966293679,2194.9423
20,399101,中小板综,-0.31,10943.749,10955.503,10921.655,10964.05,10909.262,6827124142,983.341
21,399106,深证综指,-0.38,1857.686,1859.881,1852.785,1860.878,1850.786,16157250730,2218.4074
22,399107,深证Ａ指,-0.38,1942.992,1945.301,1937.856,1946.334,1935.759,16121650262,2216.5619
23,399108,深证Ｂ指,-0.06,1116.334,1115.619,1114.989,1117.847,1113.279,35600468,1.8455
24,399333,中小板R,-0.72,7372.845,7383.662,7330.497,7387.541,7321.29,1545655023,271.0101
25,399606,创业板R,-0.27,1866.466,1867.95,1862.929,1870.797,1859.209,976444090,152.3975
