,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,2.738,20.64,20.01,20.78,19.93,20.09,4179673,3.62819,85603194,71.172,3.586,594432.0,237772.8
1,603998,方盛制药,0.435,13.85,13.8,13.86,13.68,13.79,807300,0.29991,11137627,86.563,6.338,599714.3072,372810.4497
2,603997,继峰股份,-1.091,14.51,14.6,14.64,14.41,14.67,4903790,2.86771,71058243,24.593,3.802,914130.0,248121.0
3,603996,中新科技,-0.116,17.26,17.2,17.39,17.13,17.28,921626,0.8924,15894613,44.256,3.707,518058.9,178252.65
4,603993,洛阳钼业,1.111,4.55,4.6,4.78,4.51,4.5,183291619,1.41497,849274164,75.833,3.974,7683675.40805,5893947.46804
5,603991,至正股份,2.318,42.38,41.0,42.96,40.71,41.42,1464800,7.83316,60844684,63.254,7.341,315879.321524,79250.6
6,603990,麦迪科技,0.512,37.33,37.16,37.78,36.4,37.14,369558,1.84779,13652123,49.773,7.622,298640.0,74660.0
7,603989,艾华集团,-1.189,38.23,38.94,38.94,38.03,38.69,1571474,1.86249,60115593,43.443,6.173,1146900.0,322565.625
8,603988,中电电机,0.378,63.71,63.5,63.93,62.99,63.47,131500,0.58705,8360206,212.367,7.781,509680.0,142710.4
9,603987,康德莱,-1.11,16.03,16.13,16.26,15.9,16.21,1818641,2.30499,29111266,25.855,2.899,505642.305,126476.7
10,603986,兆易创新,-0.888,79.22,79.11,80.17,77.56,79.93,1863343,3.72669,147511961,37.419,5.886,1584400.0,396100.0
11,603985,恒润股份,-1.655,46.36,47.08,47.08,45.82,47.14,1548800,7.744,71815717,29.368,6.06,370880.0,92720.0
12,603979,金诚信,-0.407,17.11,17.16,17.18,17.05,17.18,2377522,1.3214,40697790,40.738,2.064,769950.0,307851.3328
13,603977,国泰集团,2.026,18.13,17.77,18.5,17.6,17.77,6791019,12.28477,123103853,30.729,4.022,400818.04,100222.64
14,603969,银龙股份,-3.925,20.56,21.4,21.5,20.51,21.4,16384427,10.7347,343449378,57.111,5.059,822400.0,313808.308
15,603968,醋化股份,0.472,21.28,21.0,21.4,21.0,21.18,1152033,0.84336,24489114,29.556,3.315,435133.44,290684.8
16,603966,法兰泰克,-0.087,23.06,23.23,23.65,22.46,23.08,3178934,7.94734,73624111,49.064,4.747,368960.0,92240.0
17,603960,克来机电,-1.272,39.57,40.1,40.18,39.21,40.08,846412,4.23206,33587909,65.95,7.674,316560.0,79140.0
18,603959,百利科技,4.104,18.01,17.25,18.15,17.25,17.3,2651951,2.49244,47535555,33.981,4.563,403424.0,191626.4
19,603958,哈森股份,0.981,40.13,39.0,40.8,38.37,39.74,3418972,6.28975,134121977,94.87,7.215,872265.68,218138.035998
20,603955,大千生态,-0.628,47.45,47.21,48.8,46.44,47.75,3257140,14.97536,154534448,44.445,4.194,412815.0,103203.75
21,603939,益丰药房,-0.032,31.56,31.58,32.06,31.18,31.57,975149,0.62506,30857711,47.602,3.775,1144664.34065,492361.248
22,603936,博敏电子,-0.487,26.55,26.55,26.79,26.32,26.68,774427,1.38044,20500243,83.229,4.695,444314.25,148945.5
23,603929,亚翔集成,0.089,22.37,22.25,22.69,22.05,22.35,1515579,2.84029,33854691,21.718,5.056,477286.32,119366.32
24,603928,兴业股份,1.309,18.57,18.35,18.79,18.13,18.33,2950560,5.85429,54457839,27.309,3.532,374371.2,93592.8
25,603926,铁流股份,-1.085,34.64,35.18,35.18,34.18,35.02,1866992,6.22331,64765326,27.935,5.921,415680.0,103920.0
26,603920,世运电路,-0.748,22.56,22.62,22.74,22.38,22.73,3408238,3.83811,76836987,26.541,7.325,906460.8,200332.8
27,603919,金徽酒,0.574,19.29,19.1,19.59,19.09,19.18,2598500,2.24321,50187017,22.694,3.077,702156.0,223452.37005
28,603918,金桥信息,-1.709,28.18,28.62,28.74,27.98,28.67,692600,0.56152,19581860,176.125,10.049,499701.85,347583.392
29,603909,合诚股份,0.0,47.59,0.0,0.0,0.0,47.59,0,0.0,0,71.986,8.092,475900.0,118975.0
30,603908,牧高笛,0.802,47.76,47.15,48.16,46.2,47.38,1267607,7.59501,60026656,50.274,7.134,318511.44,79711.44
31,603906,龙蟠科技,0.631,22.32,22.18,22.52,22.02,22.18,3002111,5.77329,66855851,39.158,4.115,464256.0,116064.0
32,603903,中持股份,-2.141,50.74,51.7,51.7,50.51,51.85,3077571,12.0173,156841044,83.18,7.873,519770.412,129942.603
33,603901,永创智能,-0.168,11.92,11.93,12.04,11.84,11.94,1053490,0.68408,12566712,54.182,5.223,476800.0,183568.0
34,603900,通灵珠宝,-0.031,32.39,32.4,32.73,32.16,32.4,1481661,2.43699,47992832,27.449,3.69,787710.5484,196927.6371
35,603899,晨光文具,-0.237,16.81,16.85,16.97,16.7,16.85,2201000,0.98259,37011377,31.374,5.957,1546520.0,376544.0
36,603898,好莱客,-3.171,32.67,33.0,33.6,31.8,33.74,4846094,5.4448,156846652,37.988,8.244,979773.3,290776.068
37,603896,寿仙谷,-3.551,39.38,40.02,40.7,39.01,40.83,8775999,25.11015,348782043,51.143,9.444,550532.4,137633.1
38,603889,新澳股份,-0.585,15.29,15.36,15.39,15.14,15.38,2661566,1.87512,40560557,30.58,4.055,497169.64,217028.01835
39,603888,新华网,-0.937,85.65,86.0,86.98,85.2,86.46,736574,1.41914,63301490,50.382,7.287,1778194.58736,444548.64684
40,603887,城地股份,-1.815,34.62,35.13,35.13,34.31,35.26,859404,3.49351,29822951,50.174,4.864,339622.2,85165.2
41,603886,元祖股份,-0.965,19.5,19.57,19.71,19.29,19.69,3627778,6.04661,70675772,28.261,4.359,468000.0,116993.84775
42,603885,吉祥航空,-1.853,15.89,16.13,16.21,15.8,16.19,3156844,0.58785,50370877,15.578,2.534,2855454.41495,853314.414953
43,603883,老百姓,0.76,47.71,47.15,48.3,47.15,47.35,1678415,1.99519,80476035,42.982,6.487,1273857.0,401351.982811
44,603881,XD数据港,-2.732,50.92,52.38,52.38,50.6,52.35,5329242,10.12202,272942259,101.84,13.19,1072306.49874,268093.8
45,603879,N永悦,44.0,9.72,9.72,9.72,9.72,6.75,6960,0.01933,67651,22.091,3.881,139968.0,34992.0
46,603878,武进不锈,1.48,22.63,22.28,22.7,22.05,22.3,2344934,4.64343,52601866,28.646,2.344,457126.0,114281.5
47,603877,太平鸟,1.242,26.89,26.55,27.14,26.46,26.56,2936891,5.3398,79123852,26.363,4.067,1277275.0,147895.0
48,603869,北部湾旅,0.299,26.8,26.76,26.95,26.61,26.72,815000,1.11839,21806309,39.412,2.625,934800.79824,195299.3184
49,603868,飞科电器,-3.787,56.66,58.6,58.99,56.4,58.89,3050027,6.99547,175140754,38.808,11.163,2468109.6,247037.6
50,603866,桃李面包,0.602,36.74,36.38,36.85,36.07,36.52,282777,0.47935,10375196,37.876,7.77,1653762.924,216733.70554
51,603861,白云电器,9.079,24.27,22.1,24.42,21.6,22.25,9523895,7.86544,219559795,59.631,5.158,992885.7,293874.052224
52,603859,能科股份,1.079,32.79,32.5,33.44,32.45,32.44,3576545,12.5979,117732431,69.544,5.833,372363.24,93090.81
53,603858,步长制药,0.273,73.58,73.5,73.8,73.26,73.38,944619,1.35332,69498756,25.692,3.911,5016684.4,513588.4
54,603855,华荣股份,-2.837,17.81,18.26,18.26,17.12,18.33,21269479,25.69709,374023078,38.717,5.997,589635.67,147413.37
55,603843,正平股份,4.14,14.84,14.25,15.18,14.0,14.25,7638150,7.66113,112390808,54.963,4.914,593604.452,147954.8
56,603839,安正时尚,0.612,26.3,26.1,26.45,25.9,26.14,2977941,4.17898,78025326,23.909,3.031,749655.2,187413.8
57,603838,四通股份,-1.369,14.41,14.41,14.58,14.15,14.61,5833815,5.99693,83729918,65.5,5.651,384285.88,140180.48
58,603833,欧派家居,0.498,115.14,114.43,116.89,112.91,114.57,1033293,2.48926,118163350,45.331,9.667,4779359.06357,477946.14
59,603828,柯利达,-2.491,20.75,21.06,21.34,20.65,21.28,1552766,2.58278,32427055,74.107,3.641,384079.3875,124749.0
60,603826,坤彩科技,0.272,18.41,18.26,18.7,18.25,18.36,7841184,8.71243,144897192,45.705,9.565,662760.0,165690.0
61,603823,百合花,1.193,21.2,20.86,21.24,20.85,20.95,1480329,3.28962,31245840,27.895,4.002,477000.0,95400.0
62,603822,嘉澳环保,10.0,46.42,41.98,46.42,41.55,42.2,4117542,10.14173,179725062,72.77,5.466,340490.7,188465.2
63,603819,神力股份,-2.186,26.85,27.8,28.77,26.66,27.45,4288893,14.29631,118601329,54.796,4.366,322200.0,80550.0
64,603818,曲美家居,0.0,15.58,15.41,15.63,15.27,15.58,1341985,1.01968,20703411,41.0,5.36,754258.96,205045.264
65,603817,海峡环保,-1.638,18.02,18.33,18.39,17.85,18.32,5847941,5.19817,105330947,62.138,5.929,810900.0,202725.0
66,603816,顾家家居,-0.13,53.84,53.91,54.3,53.1,53.91,1375436,1.6672,74042490,32.24,6.126,2220900.0,444180.0
67,603811,诚意药业,1.351,36.77,36.35,36.98,36.11,36.28,1052572,4.94165,38553625,34.364,5.423,313280.4,78320.1
68,603808,歌力思,1.22,28.22,27.82,28.34,27.79,27.88,600974,0.72373,16914263,34.486,3.901,732204.7271,234334.94331
69,603806,福斯特,0.461,32.71,32.58,32.86,32.34,32.56,790570,0.87637,25754121,15.502,2.659,1314942.0,295076.91
70,603803,瑞斯康达,-1.036,22.92,23.01,23.18,22.79,23.16,2230567,3.92705,51156320,32.743,5.149,965059.336644,130185.6
71,603800,道森股份,3.095,22.32,21.6,22.4,21.43,21.65,6141379,9.08488,135304834,-77.312,5.063,464256.0,150883.2
72,603799,华友钴业,5.452,53.19,52.3,54.33,52.27,50.44,36780241,13.55844,1949588858,409.154,6.856,3152447.00561,1442895.768
73,603798,康普顿,-0.996,59.64,60.29,60.29,59.05,60.24,795876,1.86388,47340012,49.289,7.255,596400.0,254662.8
74,603797,联泰环保,-0.577,20.69,20.78,20.85,20.23,20.81,5633054,10.56066,115790955,51.725,4.649,441400.46,110360.46
75,603789,星光农机,0.539,18.66,18.51,18.8,18.31,18.56,708008,0.88501,13185456,112.41,3.474,376013.928,149280.0
76,603788,宁波高发,1.106,40.22,39.77,40.41,39.67,39.78,1989797,4.06114,79802706,35.593,6.38,568710.8,197061.912
77,603787,新日股份,-1.593,17.3,17.48,17.58,17.15,17.58,4180822,8.19769,72495999,34.6,4.832,352920.0,88230.0
78,603779,威龙股份,4.638,22.11,21.06,22.2,21.06,21.13,5217121,5.63369,113828759,67.0,5.527,442642.2,204751.31325
79,603778,乾景园林,3.651,13.91,13.05,14.76,12.9,13.42,102089314,45.13151,1443814641,34.775,2.926,695500.0,314649.893363
80,603777,来伊份,4.933,37.86,36.2,38.77,35.58,36.08,14161114,23.60186,525629165,54.87,4.661,908640.0,227160.0
81,603768,常青股份,-0.972,25.47,25.65,25.87,25.31,25.72,1718940,3.37047,43925891,26.258,3.32,519588.0,129897.0
