日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2017-06-06,'399107,深证Ａ指,1893.9612,1893.9612,1878.1404,1881.444,1883.6273,10.3339,0.5486,12797861282,1.69923407691e+11
2017-06-05,'399107,深证Ａ指,1883.6273,1887.9052,1873.3215,1873.3215,1870.7035,12.9238,0.6909,13453177040,1.78470020023e+11
2017-06-02,'399107,深证Ａ指,1870.7035,1873.6778,1833.9176,1848.3783,1855.0047,15.6988,0.8463,14818233339,1.86690340654e+11
2017-06-01,'399107,深证Ａ指,1855.0047,1886.7615,1854.5763,1884.8466,1891.3762,-36.3715,-1.923,15507809951,2.01143840623e+11
2017-05-31,'399107,深证Ａ指,1891.3762,1919.0556,1890.5207,1912.0341,1893.2399,-1.8637,-0.0984,15661841689,2.11061532995e+11
2017-05-26,'399107,深证Ａ指,1893.2399,1901.8421,1888.7963,1893.6956,1895.1316,-1.8917,-0.0998,15553766342,2.08075764229e+11
2017-05-25,'399107,深证Ａ指,1895.1316,1899.2686,1860.792,1878.1523,1881.4951,13.6365,0.7248,17397784979,2.26716119123e+11
2017-05-24,'399107,深证Ａ指,1881.4951,1881.4951,1838.4113,1863.0281,1871.6317,9.8634,0.527,14454617118,1.89565075537e+11
2017-05-23,'399107,深证Ａ指,1871.6317,1911.7788,1870.6764,1907.2308,1912.2483,-40.6166,-2.124,16942807794,2.2552138772e+11
2017-05-22,'399107,深证Ａ指,1912.2483,1944.0665,1906.3299,1937.0203,1938.961,-26.7127,-1.3777,15740056786,2.16600071643e+11
2017-05-19,'399107,深证Ａ指,1938.961,1947.2738,1930.0432,1941.1506,1941.3592,-2.3982,-0.1235,14328883530,2.03560516121e+11
2017-05-18,'399107,深证Ａ指,1941.3592,1956.699,1934.0327,1938.806,1953.594,-12.2348,-0.6263,16002902120,2.31777043855e+11
2017-05-17,'399107,深证Ａ指,1953.594,1965.1919,1948.4403,1949.7141,1951.0682,2.5258,0.1295,19179141583,2.7873179586e+11
2017-05-16,'399107,深证Ａ指,1951.0682,1951.0682,1895.8189,1907.251,1910.966,40.1022,2.0985,18751203587,2.67272337679e+11
2017-05-15,'399107,深证Ａ指,1910.966,1916.6928,1907.0478,1907.0478,1903.8303,7.1357,0.3748,13282552227,1.91133563869e+11
2017-05-12,'399107,深证Ａ指,1903.8303,1907.5699,1888.2529,1898.7573,1902.7682,1.0621,0.0558,14075261757,1.98369911515e+11
2017-05-11,'399107,深证Ａ指,1902.7682,1902.7682,1859.1303,1894.4522,1906.3581,-3.5899,-0.1883,17305944785,2.29227695644e+11
2017-05-10,'399107,深证Ａ指,1906.3581,1944.9682,1905.8778,1931.9358,1932.6879,-26.3298,-1.3623,15594674910,2.20687662285e+11
